Gr. Nr.,Ebene,Gruppierung,Domain,AS,CMS
16/01/01,Stamm,"Dortmund-Mitte, St. Franziskus",dpsg-do-mitte.de,Strato GmbH,WordPress
16/01/02,Stamm,Dortmund-Husen,dpsg-husen.de,netcup GmbH,WordPress
16/01/03,Stamm,"Dortmund-Wambel, St. Meinolfus",dpsg-wambel.de,EVANZO e-commerce GmbH,WordPress
16/01/04,Stamm,DPSG St. Remigius Dortmund-Mengede,dpsg-mengede.de,Equinix (Germany) GmbH,Weblication® CMS
16/01/06,Stamm,Dortmund-Lütgendortmund,dpsg-luetgendortmund.de,Hetzner Online GmbH,WordPress
16/01/07,Stamm,"Dortmund-Soelde, St. Marien",dpsg-soelde.de,Strato GmbH,WordPress
16/01/10,Stamm,"Dortmund-Huckarde, St. Urbanus",dpsg-huckarde.de,Neue Medien Muennich GmbH,Unknown
16/01/11,Stamm,St. Liborius - Dortmund-Körne,dpsglibori.de,EVANZO e-commerce GmbH,WordPress
16/01/13,Stamm,"Dortmund-Hörde, Marcel Callo",dpsg-hoerde.de,dogado GmbH,WordPress
16/01/14,Stamm,"Dortmund-Scharnhorst, St. Franziskus",dpsg-scharnhorst.de,IONOS SE,Powered by WPBakery Page Builder - drag and drop page builder for WordPress.
16/01/15,Stamm,DPSG Dortmund-Barop (FRAXA),dpsg-barop.de,Hetzner Online GmbH,WordPress
16/01/16,Stamm,"Dortmund-Kirchlinde, St. Josef",dpsg-kirchlinde.de,Neue Medien Muennich GmbH,HTTP Status 403
16/01/17,Stamm,"Dortmund-Aplerbeck, St. Ewaldi",dpsg-aplerbeck.de,Neue Medien Muennich GmbH,Unknown
16/01/18,Stamm,"DPSG Dortmund-Brünninghausen, Hl. Familie",dpsg-bruenninghausen.de,"Fastly, Inc.",Unknown
16/01/19,Stamm,"Dortmund-Lichtendorf/Sölderholz, Bonifaten 80",bonifaten80.de,uvensys GmbH,Unknown
16/01/21,Stamm,Dortmund-Berghofen,dpsg-berghofen.de,Hetzner Online GmbH,WordPress
16/01/23,Stamm,"Dortmund-Lanstrop, St. Michael",-,,
16/01/24,Stamm,"Castrop-Rauxel, St. Lambertus",dpsg-castrop.de,IONOS SE,WordPress
16/01/25,Stamm,"Herne, Amelungen",dpsg-amelungen.org,MK Netzdienste Verwaltungs GmbH trading as MK Netzdienste GmbH & Co. KG,HTTP Status 500
16/01/26,Stamm,"Herne-Eickel, Franziskus",dpsg-st-franziskus.de,netcup GmbH,WordPress
16/02/00,Bezirk,Bezirk Ruhr-Sauerland,ruhrsau.de,Hetzner Online GmbH,WordPress
16/02/01,Stamm,Goten Unna,dpsg-unna.de,Host Europe GmbH,Unknown
16/02/02,Stamm,Hohenlimburg,dpsg-hohenlimburg.de,IONOS SE,WordPress
16/02/03,Stamm,"Hagen-Boele, St. Joh. Baptist",stamm-boele.de,netcup GmbH,Joomla
16/02/04,Stamm,"Schwerte-Ost, St. Marien",dpsg-schwerte.de,Contabo GmbH,WordPress
16/02/06,Stamm,"Hagen, St. Elisabeth",dpsg-hagen.de,Hetzner Online GmbH,WordPress
16/02/07,Stamm,Wittener Löwen,wittener-pfadfinder.de,Hetzner Online GmbH,WordPress
16/02/08,Stamm,DPSG St. Urban Ende-Syburg (Stamm),dpsg-st-urban.de,Hetzner Online GmbH,WordPress
16/02/11,Stamm,Fröndenberg-Warmen,dpsg-froendenberg.de,Strato GmbH,WordPress
16/02/14,Stamm,"Herdecke, Marcel Callo",dpsg-mch.de,Wix.com Ltd.,Wix.com Website Builder
16/02/16,Stamm,"Iserlohn-Nussberg, Arche",pfadfinder-nussberg.de,"Cloudflare, Inc.",HTTP Status 403
16/02/18,Stamm,"Witten-Bommern, Herz Jesu",dpsg-bommern.de,dogado GmbH,WordPress
16/03/00,Bezirk,Bezirk Soest-Hamm,dpsg-soest-hamm.de,Hetzner Online GmbH,WordPress
16/03/01,Stamm,"Bad-Westernk., Franz v. Assisi",dpsg-badwesternkotten.de,Hetzner Online GmbH,WordPress
16/03/02,Stamm,"Möhnesee-Körbecke, St. Pankratius",-,,
16/03/03,Stamm,"Geseke, Marco Polo",dpsg-geseke.de,dogado GmbH,WordPress
16/03/04,Stamm,Hamm-Süden,dpsg-hamm-sueden.de,Hetzner Online GmbH,WordPress
16/03/05,Stamm,"Lippstadt, Phönix",dpsgphoenixlippstadt.de,Strato GmbH,WordPress
16/03/06,Stamm,Hamm-Norden,-,,
16/03/07,Stamm,Soest,dpsg-soest.de,Hetzner Online GmbH,WordPress
16/03/08,Stamm,"Lippetal, Lippborg",dpsglippborg.de,Hetzner Online GmbH,WordPress
16/03/11,Stamm,"Warstein, St. Petrus",dpsg-warstein.de,netcup GmbH,WordPress
16/03/12,Stamm,Graf-Folke-Bernadotte Rüthen,dpsg-ruethen.de,MK Netzdienste Verwaltungs GmbH trading as MK Netzdienste GmbH & Co. KG,WordPress
16/03/13,Stamm,"Warstein-Belecke, St. Pankratius",-,,
16/03/14,Stamm,"Heessen-Dasbeck, Don Bosco",stamm-don-bosco.de,Strato GmbH,Unknown
16/03/15,Stamm,"Welver, Maximilian Kolbe",dpsg-welver.de,Strato GmbH,WordPress
16/03/18,Stamm,Hamm-Berge,dpsg-hamm-berge.de,Host Europe GmbH,Joomla
16/03/19,Stamm,"Lippetal, Oestinghausen",-,,
16/03/21,Stamm,"Lippstadt, Albatros Cappel",pfadfinder-albatros-cappel.de,"Cloudflare, Inc.",HTTP Status 403
16/04/00,Bezirk,Bezirk Hochsauerland,dpsg-hochsauerland.de,Hetzner Online GmbH,WordPress
16/04/02,Stamm,"Neheim, St. Christopher",pfadfinder-neheim.de,Michael Sebastian Schinzel trading as IP-Projects GmbH & Co. KG,WordPress
16/04/03,Stamm,"Arnsberg-Hüsten, Stamm Sankt Ludgerus",dpsg-huesten.de,Host Europe GmbH,WordPress
16/04/04,Stamm,"Herdringen, St. Antonius",dpsg-herdringen.de,IONOS SE,Unknown
16/04/05,Stamm,"Eslohe-Wenholthausen, St. Cäcilia",dpsg-wenholthausen.de,Strato GmbH,Unknown
16/04/06,Stamm,"Arnsberg, Liebfrauen",dpsg-arnsberg.de,Host Europe GmbH,HTTP Status 403
16/04/07,Stamm,"Meschede-Eversberg, St. Ever.",dpsg-eversberg.de,Neue Medien Muennich GmbH,Unknown
16/04/08,Stamm,"Brilon, Propstei",dpsg-brilon.de,Hetzner Online GmbH,Unknown
16/04/09,Stamm,Stamm Kückelheim,-,,
16/04/11,Stamm,"Meschede, St. Walburga",dpsg-meschede.de,Hetzner Online GmbH,WordPress
16/05/00,Bezirk,Bezirk Siegerland-Südsauerland,dpsg-sisuesau.de,Hetzner Online GmbH,HTTP Status 500
16/05/01,Stamm,"Siegen, St. Michael",pfadfinder-siegen.de,"Cloudflare, Inc.",WordPress
16/05/02,Stamm,"Siegen, St. Peter und Paul",-,,
16/05/03,Stamm,Siegen-Hüttental,dpsg-huettental.de,HKN GmbH,WordPress
16/05/05,Stamm,"Olpe, Vinzenz Pallotti",dpsg-pfadfinden-olpe.de,SpaceNet AG,WordPress
16/05/06,Stamm,"Netphen, St. Martini",dpsg-netphen.de,MK Netzdienste Verwaltungs GmbH trading as MK Netzdienste GmbH & Co. KG,Unknown
16/05/07,Stamm,Netphen-Dreis-Tiefenbach,dpsg-dreisbe.de,EVANZO e-commerce GmbH,WordPress
16/05/09,Stamm,"Attendorn-Ennest, St. Margaretha",-,,
16/05/10,Stamm,"Wilnsdorf-Rudersdorf, St. Laurentius",-,,
16/06/00,Bezirk,Bezirk OWL,dpsg-owl.de,Hetzner Online GmbH,WordPress
16/06/01,Stamm,"Paderborn-Schloß Neuhaus, St. Heinrich",dpsgschlossneuhaus.de,Hetzner Online GmbH,WordPress
16/06/02,Stamm,"Paderborn, St. Meinolf",dpsg-st-meinolf.de,Strato GmbH,WordPress
16/06/03,Stamm,"Herford, St. Johannes Baptist",herforder-pfadfinder.de,Hetzner Online GmbH,WordPress
16/06/04,Stamm,"Bielefeld, Liebfrauen",dpsg-bielefeld.de,dogado GmbH,WordPress
16/06/06,Stamm,Nordborchen,dpsg-nordborchen.de,Neue Medien Muennich GmbH,Unknown
16/06/07,Stamm,Gütersloh-Spexard,pfadfinder-guetersloh.de,Hetzner Online GmbH,WordPress
16/06/08,Stamm,"Paderborn, Auf der Lieth, St. Hedwig",dpsg-sthedwig.de,Contabo GmbH,WordPress
16/06/10,Stamm,Lemgo,dpsg-lemgo.de,Neue Medien Muennich GmbH,HTTP Status 403
16/06/13,Stamm,"Detmold, Hl. Kreuz",dpsg-detmold.de,Strato GmbH,Joomla
16/06/17,Stamm,"Paderborn-Elsen, St. Dionysius Elsen",dpsg-elsen.de,23M GmbH,WordPress
16/08/00,Bezirk,Bezirk Corvey,dpsg-corvey.de,Strato GmbH,Unknown
16/08/01,Stamm,"Höxter-Stadtmitte, St. Ansgar",pfadfinder-hoexter.de,Strato GmbH,WordPress
16/08/03,Stamm,Stamm St. Johannes Baptist Lüchtringen,dpsg-luechtringen.de,IONOS SE,Xara Web Designer
16/08/04,Stamm,"Stahle, St. Anna",dpsg-stahle.de,Randy Sieber,Unknown
16/08/05,Stamm,"Brenkhausen, St. Johannes",dpsg-brenkhausen.de,Strato GmbH,WordPress
16/08/08,Stamm,Höxter-Ottbergen,dpsg-ottbergen.de,Host Europe GmbH,Unknown
17/00/00,Diözese,Diözesanverband Passau,dpsg-passau.de,Neue Medien Muennich GmbH,WordPress
17/01/01,Stamm,Hengersberg,-,,
17/01/02,Stamm,DPSG Fürstenstein-Nammering,-,,
17/01/03,Stamm,"Salzweg, Sophie Scholl",pfadfinder-salzweg.de,Neue Medien Muennich GmbH,WordPress
17/02/01,Stamm,Neuötting,dpsg-neuoetting.de,Hetzner Online GmbH,Unknown
17/02/03,Stamm,Winhöring,-,,
17/04/01,Stamm,Hauzenberg,-,,
17/04/02,Stamm,"Freyung, St. Gunther",-,,
17/04/03,Stamm,Tittling,-,,
17/04/04,Stamm,Untergriesbach,dpsg-untergriesbach.de,Host Europe GmbH,Unknown
17/05/01,Stamm,Kirchdorf,pfadfinder-kirchdorf.de,Neue Medien Muennich GmbH,Joomla
17/05/02,Stamm,Pocking,pfadfinder-pocking.de,Cyberse GmbH & Co. KG,WordPress
17/05/03,Stamm,Pfarrkirchen,dpsg-pfarrkirchen.de,dogado GmbH,Joomla
17/05/04,Stamm,Vilshofen,dpsg-vilshofen.de,One.com A/S,One.com Web Editor
17/05/05,Stamm,"Rotthalmünster, St. Sebastian",pfadfinderstamm.de,Neue Medien Muennich GmbH,Unknown
17/05/08,Siedlung,Fürstenzell,-,,
17/06/01,Stamm,Frauenau,-,,
17/07/01,Stamm,Grafenau,dpsg-grafenau.de,-,NameResolutionError
18/00/00,Diözese,Diözesanverband Regensburg,dpsg-regensburg.de,Neue Medien Muennich GmbH,WordPress
18/01/00,Bezirk,FichtelBezirk,dpsg-fichtelbezirk.de,Strato GmbH,WordPress
18/01/01,Stamm,"Speichersdorf, Kirchenlaibach",dpsg-speichersdorf.de,EVANZO e-commerce GmbH,WordPress
18/01/02,Stamm,Kulmain,dpsg-kulmain.de,Strato GmbH,WordPress
18/01/03,Stamm,Mitterteich,dpsg-mitterteich.de,"Cloudflare, Inc.",HTTP Status 403
18/01/04,Stamm,Marktredwitz,dpsg-marktredwitz.de,dogado GmbH,HTTP Status 403
18/01/05,Stamm,Tirschenreuth,dpsg-tirschenreuth.de,Neue Medien Muennich GmbH,Unknown
18/02/00,Bezirk,BurgenBezirk,dpsg-burgenbezirk.de,IONOS SE,HTTP Status 404
18/02/01,Stamm,Eschenbach,pfadfinder-eschenbach.de,Strato GmbH,WordPress
18/02/02,Stamm,"Weiden, Thomas Morus",pfadfinder-weiden.com,Neue Medien Muennich GmbH,WordPress
18/02/03,Stamm,"Neuhaus, Don Bosco",pfadfinder-neuhaus.de,Strato GmbH,WordPress
18/02/08,Stamm,"Windischeschenbach, St. Georg",pfadfinder-windischeschenbach.de,united-domains GmbH,Unknown
18/03/00,Bezirk,HüttenBezirk,-,,
18/03/01,Stamm,"Amberg, St. Georg",dpsg-amberg.de,netcup GmbH,WordPress
18/03/02,Stamm,"Ammersricht, St. Konrad",dpsg-ammersricht.de,Neue Medien Muennich GmbH,WordPress
18/03/05,Stamm,Schnaittenbach,dpsg-schnaittenbach.de,Neue Medien Muennich GmbH,Unknown
18/03/06,Stamm,Sulzbach-Rosenberg,pfadfinder-suro.de,ecotel communication ag,Unknown
18/03/07,Stamm,Poppenricht-Michaelspoppenricht,-,,
18/03/08,Stamm,Ensdorf,dpsg-ensdorf.de,ecotel communication ag,Xara Web Designer
18/05/00,Bezirk,Bezirk Niederbayern,-,,
18/05/01,Stamm,Puchhausen-Hüttenkofen,-,,
18/05/03,Stamm,"Straßkirchen, Impeesa",pfadfinder-strasskirchen.de,Strato GmbH,WordPress
18/05/04,Stamm,"Landshut, Angelo Roncalli",-,,
18/05/05,Stamm,"Landshut, St. Pius",-,,
18/05/06,Stamm,DPSG Stamm Viechtach,-,,
18/05/07,Stamm,"Landshut, St. Wolfgang",-,,
18/05/09,Stamm,Hohenthann,-,,
18/05/13,Siedlung,Vilsbiburg,-,,
18/06/00,Bezirk,DomBezirk,dombezirk.de,Hetzner Online GmbH,WordPress
18/06/01,Stamm,"Obertraubling, Trubilo",dpsg-obertraubling.com,"Cloudflare, Inc.",HTTP Status 403
18/06/03,Stamm,Regensburg-Ziegetsdorf,pfadis-z.de,dogado GmbH,Unknown
18/06/04,Stamm,"Regensburg-Kupfmühl, St. Wolfgang",dpsg-stwolfgang.de,Hetzner Online GmbH,WordPress
18/06/05,Stamm,"Regensburg, St. Konrad",dpsg-st-konrad.de,Nawork Internet Informationssysteme GmbH,Unknown
18/06/06,Stamm,Sinzing,dpsgsinzing.de,Microsoft Corporation,WordPress
18/06/07,Stamm,"Regensburg, Herz Marien",dpsg-herz-marien.de,"Cloudflare, Inc.",HTTP Status 403
18/06/08,Stamm,"Regensburg-Steinweg, Hl. Dreifaltigkeit",pfadfinder-steinweg.de,Mittwald CM Service GmbH und Co. KG,Joomla
18/06/11,Stamm,Wenzenbach,pfadfinder-wenzenbach.de,Hetzner Online GmbH,WordPress
18/06/12,Stamm,Regensburg-Schwabelweis,dpsg-schwabelweis.de,Neue Medien Muennich GmbH,WordPress
18/06/14,Stamm,"Hainsacker, Geschwister Scholl",pfadfinder-hainsacker.de,Host Europe GmbH,WordPress
18/06/15,Stamm,Regensburg-Burgweinting,-,,
18/06/16,Stamm,Pettendorf,-,,
18/07/00,Bezirk,JuraBezirk,jurabezirk.de,dogado GmbH,WordPress
18/07/02,Stamm,Parsberg,dpsg-parsberg.de,netcup GmbH,WordPress
18/07/03,Stamm,Kelheim,dpsg-kelheim.de,manitu GmbH,WordPress
18/07/04,Stamm,"Saal, Christ König",pfadfinder-saal.de,IONOS SE,HTTP Status 404
18/07/06,Stamm,Abensberg-Offenstetten,dpsg-offenstetten.de,Hetzner Online GmbH,HTTP Status 404
18/07/07,Stamm,Stamm Teugn,pfadfinder-teugn.de,dogado GmbH,Joomla
19/00/00,Diözese,Diözesanverband Rottenburg-Stuttgart,dpsg.info,Hetzner Online GmbH,WordPress
19/01/00,Bezirk,Bezirk Stuttgart,dpsg-stuttgart.de,Host Europe GmbH,Unknown
19/01/01,Stamm,"Stuttgart-Obertürkheim, St. Franziskus",dpsg-obertuerkheim.de,Host Europe GmbH,WordPress
19/01/03,Stamm,"Stuttgart-Möhringen, St. Hedwig",-,,
19/01/04,Stamm,Stuttgart-Hofen,dpsg-hofen.de,webgo GmbH,WordPress
19/01/05,Stamm,"Oeffingen, Chico Mendes",pfadfinder-oeffingen.de,IONOS SE,Joomla
19/01/09,Stamm,Stuttgart-Zuffenhausen,-,,
19/01/12,Stamm,"Leonberg, St. Johannes d. T.",dpsg-leonberg.de,Strato GmbH,WordPress
19/02/00,Bezirk,Bezirk Neckar/Filder,bezirk-neckar-filder.de,netcup GmbH,WordPress
19/02/01,Stamm,"Esslingen, Wikinger",dpsg-esslingen.de,dogado GmbH,Unknown
19/02/06,Stamm,"Neuhausen, Petrus & Paulus",dpsg-neuhausen.de,Neue Medien Muennich GmbH,Unknown
19/02/07,Stamm,Corvus Nürtingen,dpsg-nuertingen.de,netcup GmbH,WordPress
19/02/09,Stamm,Wernau/Neckar,dpsg-wernau.de,Strato GmbH,Unknown
19/03/00,Bezirk,Bezirk Neckar,dpsg-neckar.de,Host Europe GmbH,WordPress
19/03/02,Stamm,"Herrenberg, St. Josef",dpsg-herrenberg.de,Neue Medien Muennich GmbH,WordPress
19/03/03,Stamm,Holzgerlingen,dpsg-holzgerlingen.de,Mittwald CM Service GmbH und Co. KG,WordPress
19/03/04,Stamm,Eningen,dpsg-eningen.de,Strato GmbH,WordPress
19/03/05,Stamm,Reutlingen-Nord,dpsg-rt-nord.de,manitu GmbH,Unknown
19/03/09,Stamm,Tübingen,dpsg-tuebingen.de,Strato GmbH,Unknown
19/03/10,Stamm,"Frommern, St. Paulus",dpsg-frommern.de,Host Europe GmbH,TYPO3
19/03/11,Stamm,Böblingen,dpsg-bb.de,UD Media GmbH,WordPress
19/03/13,Stamm,Reutlingen-Mitte,dpsg-rt-mitte.de,Hetzner Online GmbH,WordPress
19/03/15,Stamm,St. Peter & Paul Weil der Stadt,weiler-pfadis.de,netcup GmbH,WordPress
19/03/16,Stamm,Reutlingen Süd,dpsg-rt-sued.de,SpaceNet AG,WordPress
19/03/20,Stamm,"Kiebingen, Heilig Geist",dpsg-kiebingen.de,uvensys GmbH,WordPress
19/03/21,Stamm,Ammerbuch-Entringen,dpsg-entringen.de,Strato GmbH,Contao Open Source CMS
19/04/00,Bezirk,Bezirk Hohenstaufen,dpsg-hohenstaufen.de,IONOS SE,Unknown
19/04/01,Stamm,Stamm Hl. Kreuz Deggingen,dpsg-deggingen.de,Strato GmbH,Unknown
19/04/02,Stamm,"Donzdorf, St. Martin",-,,
19/04/05,Stamm,"Donzdorf-Winzingen, St. Bernhard",-,,
19/04/06,Stamm,Eislingen,dpsg-eislingen.de,IONOS SE,TYPO3
19/04/07,Stamm,"Göppingen, St. Maria",dpsg-gp.de,IONOS SE,WordPress
19/04/08,Stamm,"Salach, St. Margaretha",dpsg-salach.de,Hetzner Online GmbH,Unknown
19/04/11,Stamm,"Schwäbisch-Gmünd, Hl. Kreuz",dpsg-schwaebischgmuend.de,Strato GmbH,RapidWeaver
19/06/00,Bezirk,Bezirk Oberland,-,,
19/06/01,Stamm,Carpe Diem Ehingen,pfadfinder-ehingen.de,-,NameResolutionError
19/06/02,Stamm,"Biberach, Weiße Rose",dpsg-biberach.de,"Cloudflare, Inc.",HTTP Status 403
19/06/03,Stamm,"Ravensburg, Impeesa",dpsg-rv.de,Strato GmbH,WordPress
19/06/05,Stamm,"Friedrichshafen, Buchhorn",dpsg-fn.de,Neue Medien Muennich GmbH,Unknown
19/06/06,Stamm,"Laupheim, Kon - Tiki",kon-tiki.de,"Amazon.com, Inc.",Unknown
19/06/07,Stamm,"Schelklingen-Hütten, Guter Hirte",-,,
19/06/09,Stamm,"Wolfegg, Loreto",dpsg-wolfegg.com,Hostinger International Limited,WordPress
19/06/11,Stamm,Ennetach,-,,
19/06/12,Stamm,"Sinningen, St. Michael",-,,
19/06/14,Stamm,"Weingarten, Welfen",-,,
19/07/00,Bezirk,Bezirk Schwarzwald-Donau,dpsg-schwarzwald-donau.de,Strato GmbH,WordPress
19/07/01,Stamm,"Balingen, Hl. Geist",dpsg-balingen.de,IONOS SE,WordPress
19/07/02,Stamm,"Rottweil, J. F. Kennedy",dpsg-rottweil.de,OVH SAS,Unknown
19/07/03,Stamm,Schramberg,dpsg-schramberg.de,IONOS SE,WordPress
19/07/06,Stamm,"Tuttlingen, Tutilo",dpsgtut.de,Hetzner Online GmbH,WordPress
19/07/08,Stamm,"Weigheim, St. Otmar",-,,
19/08/00,Bezirk,Bezirk Ostalb,dpsgostalb.de,Strato GmbH,Unknown
19/08/01,Stamm,"Aalen, Salvator",dpsg-aalen.de,Host Europe GmbH,WordPress
19/08/02,Stamm,DPSG Bopfingen,dpsg-bopfingen.de,Strato GmbH,Unknown
19/08/03,Stamm,"Ellwangen, St. Veit",dpsg-ellwangen.de,webgo GmbH,WordPress
19/08/04,Stamm,"Giengen, St. Michael",dpsg-giengen.de,Strato GmbH,WordPress
19/08/06,Stamm,"Heubach, St. Bernhard",heubacher-pfadfinder.de,Neue Medien Muennich GmbH,WordPress
19/08/08,Stamm,"Herbrechtingen, Romero",dpsg-herbrechtingen.de,IONOS SE,HTTP Status 404
19/08/21,Stamm,Ulm-Nord,dpsg-ulm-nord.de,Wix.com Ltd.,Wix.com Website Builder
19/08/23,Stamm,Ulm-Söflingen,pfadfinder-ulm.de,Neue Medien Muennich GmbH,WordPress
19/08/24,Stamm,Rammingen,dpsg-rammingen.de,IONOS SE,Unknown
19/08/25,Stamm,Saint-Exupery Ulm,dpsg-ulm.de,MK Netzdienste Verwaltungs GmbH trading as MK Netzdienste GmbH & Co. KG,WordPress
19/09/00,Bezirk,Bezirk Unterland,dpsg-unterland.de,PlusServer GmbH,WordPress
19/09/01,Stamm,Bietigheim-Bissingen,dpsg-bibi.de,IONOS SE,HTTP Status 400
19/09/02,Stamm,"Heilbronn-Böcklingen, St. Kilian",-,,
19/09/03,Stamm,"Erlenbach, St. Martinus",dpsg-erlenbach.de,Neue Medien Muennich GmbH,HTTP Status 400
19/09/04,Stamm,"Ludwigsburg-Poppenweiler, Falke",dpsg-stamm-falke.de,Neue Medien Muennich GmbH,Unknown
19/09/05,Stamm,"Kornwestheim, St. Martin",-,,
19/09/06,Stamm,"Ludwigsburg, Silberschwäne",silberschwaene.de,Strato GmbH,WordPress
19/09/07,Stamm,"Mühlacker, Herz-Jesu",dpsg-muehlacker.de,IONOS SE,WordPress
19/09/08,Stamm,St. Dionys Neckarsulm,dpsg-neckarsulm.de,Strato GmbH,WordPress
19/09/09,Stamm,"Brackenheim, Theodor Heuss",stammtheodorheuss.de,"Cloudflare, Inc.",HTTP Status 403
19/09/11,Stamm,"Heilbronn, Mahatma Ghandi",pfadfinder-heilbronn.de,Combell NV,WordPress
19/09/12,Stamm,Oedheim,dpsg-oedheim.de,IONOS SE,Unknown
19/09/15,Stamm,"Bad Wimpfen, Fähnlein Fieselschwein",dpsg-badwimpfen.de,Hetzner Online GmbH,WordPress
19/09/18,Siedlung,Heilbronn - Über dem Salzgrund,-,,
19/11/00,Bezirk,Bezirk Hohenlohe,dpsg-bezirk-hohenlohe.de,Neue Medien Muennich GmbH,WordPress
19/11/01,Stamm,"Bad Mergentheim, Hoch- und Deutschmeister",dpsg-badmergentheim.de,Hetzner Online GmbH,WordPress
19/11/02,Stamm,Künzelsau,dpsg-kuen.de,Neue Medien Muennich GmbH,WordPress
19/11/03,Stamm,"Öhringen, Abenteuer",dpsg-oehringen.de,Neue Medien Muennich GmbH,WordPress
19/11/07,Stamm,Santiago Schrozberg,dpsg-schrozberg.de,Neue Medien Muennich GmbH,WordPress
19/11/08,Stamm,Ingelfingen,dpsg-ingelfingen.de,Neue Medien Muennich GmbH,WordPress
19/11/09,Stamm,Bretzfeld Weiße Rose,dpsg-bretzfeld.de,Neue Medien Muennich GmbH,Joomla
20/00/00,Diözese,Diözesanverband Speyer,dpsg-speyer.de,Hetzner Online GmbH,WordPress
20/02/00,Bezirk,Bezirk Trifels,-,,
20/02/01,Stamm,"Hauenstein, Christkönig",dpsg-hauenstein.de,IONOS SE,Unknown
20/02/02,Stamm,Waldfischbach-Burgalben,dpsg-wfb.de,webgo GmbH,WordPress
20/02/03,Stamm,"Rodalben, Sel. Bernhard",pfadis-rodalben.de,IONOS SE,HTTP Status 403
20/02/04,Stamm,"Kaiserslautern, Fridtjof Nansen",dpsg-kl.de,manitu GmbH,Jekyll
20/02/08,Stamm,"Rodalben, St. Josef",-,,
20/02/09,Siedlung,Ludwigswinkel,-,,
20/02/10,Stamm,Zweibrücken Stamm Heilige Elisabeth,dpsg-zw.de,Hetzner Online GmbH,HTTP Status 500
20/03/00,Bezirk,Bezirk Ludwigshafen,dpsg-lu.de,PFALZKOM GmbH,WordPress
20/03/01,Stamm,"Frankenthal, St. Jakobus-Pilgerpfad",dpsg-frankenthal.com,IONOS SE,WordPress
20/03/02,Stamm,Otterstadt,dpsg-otterstadt.de,IONOS SE,Unknown
20/03/03,Stamm,"Dannstadt-Schauernh., St. Michael",-,,
20/03/06,Stamm,"Ludwigshafen, Herz Jesu",-,,
20/03/07,Stamm,"Ludwigshafen-Gartenstadt, Phoenix",-,,
20/03/08,Stamm,"Ludwigshafen-Pfingstweide, St. Albert",dpsg-st-albert.de,IONOS SE,WordPress
20/03/09,Stamm,"Altrip, Rheingold",dpsg-altrip.de,IONOS SE,Unknown
20/03/11,Stamm,"Ludwigshafen-Friesenheim, St. Josef",-,,
20/03/13,Stamm,"Bobenheim, St. Laurentius",dpsg-bobenheim-roxheim.de,Strato GmbH,HTTP Status 400
20/03/14,Stamm,"Maxdorf/Birkenheide, Impeesa",dpsg-maxdorf.de,manitu GmbH,WordPress
20/03/18,Stamm,"Ludwigshafen-Oggersh., Christ König",pfadfinder-oggersheim.de,Strato GmbH,Unknown
20/04/00,Bezirk,Bezirk Saarpfalz,-,,
20/04/01,Stamm,St. Ingbert-Rohrbach,dpsg-rohrbach-saar.de,IONOS SE,Contao Open Source CMS
20/04/02,Stamm,"St. Ingbert, Hassel",pfadfinder-hassel.de,uvensys GmbH,Unknown
20/04/05,Stamm,"Mandelbachtal/Heckendalh., St. Josef",dpsg-heckendalheim.de,"Cloudflare, Inc.",HTTP Status 403
20/04/06,Stamm,St. Ingbert-Mitte,-,,
20/04/07,Stamm,"Homburg-Jägersb., St. Josef",jaegersburger-pfadfinder.de,IONOS SE,WordPress
20/04/10,Stamm,DPSG Johanneum,dpsg-johanneum.de,manitu GmbH,WordPress
20/04/11,Stamm,Niederwürzbach,dpsg-niederwürzbach.de,OVH SAS,SimDif Website Builder V2.02.10902
20/04/13,Stamm,DPSG Camino Homburg,dpsg-camino-homburg.de,IONOS SE,IONOS MyWebsite
20/05/00,Bezirk,Bezirk Haardt,-,,
20/05/01,Stamm,"Edenkoben/Hainfeld, Hedin",dpsg-hainfeld.de,IONOS SE,IONOS MyWebsite
20/05/02,Stamm,"Herxheim, Amundsen",dpsg-herxheim.de,IONOS SE,IONOS MyWebsite
20/05/03,Stamm,"Landau, St. Albert",dpsg-landau.de,dogado GmbH,WordPress
20/05/04,Stamm,"Neustadt, Guy de Larigaudie",dpsg-nw.de,Strato GmbH,WordPress
20/05/06,Stamm,"Neustadt-Lachen, Franz von Assisi",dpsg-lsp.de,Deutsche Telekom AG,Unknown
20/05/07,Stamm,"Winden, Marco Polo",-,,
20/05/09,Stamm,"Rülzheim, St. Diethardt",pfadfinder-ruelzheim.de,"Cloudflare, Inc.",HTTP Status 526
20/05/10,Stamm,Lambrecht,-,,
20/05/14,Stamm,"Speyer, Dompfarrei",dpsg-speyer-dom.de,Neue Medien Muennich GmbH,WordPress
20/05/15,Stamm,"Speyer, St. Konrad",dpsg-stkonrad.de,dogado GmbH,WordPress
21/00/00,Diözese,Diözesanverband Trier,dpsg-trier.de,netcup GmbH,WordPress
21/01/00,Bezirk,Bezirk Koblenz,dpsg-koblenz.de,Strato GmbH,WordPress
21/01/04,Stamm,Kaltenengers,-,,
21/01/06,Stamm,Urmitz,-,,
21/01/07,Stamm,Koblenz-Castell-Niederberg,-,,
21/01/08,Stamm,"Koblenz-Südliche Vorstadt, St. Josef",dpsg-sankt-josef.de,Strato GmbH,WordPress
21/01/09,Stamm,"Koblenz-Goldgrube, St. Franziskus",dpsg-frisko.de,Strato GmbH,WordPress
